SU3,SU2,U1,lowest_dim,d3_ex,d4_ex,d5_ex,d6_ex,d7_ex,d8_ex,d9_ex,LP(mQ=1e17),E_num,E_den,N_num,N_den,LP(mQ=5e11),Nmax(mQ=5e11),Nmax(mQ=1e17),log10(mQmin (GeV))
27,3,6,8,,,,,,3*qd*u*ld*G*QLd,4*ed*W*G^2*QRd,1.0495206498722241e+18,135,1,81,1,2438663113432.2773,1,1,17
35,1,0,8,,,,,,u*d^2*G*QLd,3*u*d^2*G*p*QRd,3.838938714719326e+18,0,1,105,2,5624443373627.943,1,1,17
35,1,6,8,,,,,,u^2*d*G*QLd,2*ed*G^3*QRd,3.771990541583077e+18,35,1,105,2,5582195119500.781,1,1,17
42,1,-8,8,,,,,,ud*d^2*G*QRd,3*ud*d^2*G*p*QLd,2.1481861264084864e+18,224,3,119,2,4165276776361.2153,1,1,17
3,1,-20,9,,,,,,,ud*d^2*e^2*QRd,6.2330123161603785e+19,100,3,1,2,1482699566870485.8,1,3,16
3,1,22,9,,,,,,,u*ld^2*ed^2*QLd,2.0394868142220206e+19,121,3,1,2,377807551029619.0,1,2,16
3,2,-23,9,,,,,,,ud^2*l*e^2*QRd,1.2624585264680643e+18,269,3,1,1,11849850088698.205,1,1,17
6,1,-22,9,,,,,,,ud^4*e*QLd,1.6069496584812452e+18,242,3,5,2,15761569740589.184,1,1,17
6,1,20,9,,,,,,,u^3*dd*ed*QLd,2.9820452088598927e+18,200,3,5,2,33584940205161.86,1,1,17
8,1,-18,9,,,,,,,e^3*G*p*QRd,2.52623897594487e+18,72,1,3,1,27090704778293.16,1,1,17
8,1,18,9,,,,,,,ed^3*G*p*QLd,2.52623897594487e+18,72,1,3,1,27090704778293.16,1,1,17
10,1,-18,9,,,,,,,ud^4*d*QLd,1.3208829545075264e+18,90,1,15,2,11924540039244.879,1,1,17
10,1,18,9,,,,,,,u^2*dd^2*ed*QRd,1.3208829545075264e+18,90,1,15,2,11924540039244.879,1,1,17
21,1,-8,9,,,,,,,qd^4*ud*QRd,2.573272398427782e+19,112,3,35,1,20188934534719.992,1,2,16
21,1,-2,9,,,,,,,2*d*G^3*QLd,2.8275966705058464e+19,7,3,35,1,20676773185175.445,1,2,16
21,1,4,9,,,,,,,2*u*G^3*QLd,2.8028326609549943e+19,28,3,35,1,20598969557184.473,1,2,16
21,2,-5,9,,,,,,,qd*ud^2*dd^2*QLd,1.3733548696810179e+18,119,3,70,1,2835584078640.6606,1,1,17
21,2,1,9,,,,,,,qd^3*dd^2*QLd,1.383748960947797e+18,35,3,70,1,2846294261408.7363,1,1,17
35,1,-6,9,,,,,,,2*e*G^3*QLd,3.771990541583077e+18,35,1,105,2,5582195119500.781,1,1,17
